senal,tickers,numero,entran,salen
ta_topgainers,"['GSMG', 'SPRT', 'SGOC', 'DFNS', 'GAMB', 'ASND', 'JWEL', 'TSRI', 'ZOM', 'BYSI', 'MRAM', 'RLX', 'RIDE', 'ASTS', 'CMPI', 'ABVC', 'CABA', 'AVTE', 'LKCO', 'COTY', 'AEHR', 'PSTG', 'MDIA', 'OPNT', 'GWAC', 'RNWK', 'EQ', 'AGFS', 'AMPG', 'ELDN', 'ADCT', 'VRAY', 'OPGN', 'CRTX', 'ALIM', 'AGFY', 'WSM', 'KNBE', 'NDRA', 'ZVO', 'RFL', 'CGA', 'AUPH', 'CFLT', 'NAKD', 'WLMS', 'CBLI', 'POLA', 'VEON', 'ABSI', 'ZEST', 'PHI', 'SBET', 'PWSC', 'DVAX', 'AHAC', 'APTO', 'EDN', 'BMEA', 'CFMS', 'DDL', 'TMDX', 'SNOW', 'AIRI', 'DLPN', 'NOTV', 'GSM', 'RNLX', 'KOPN', 'MOV', 'GBS', 'GOGL', 'INM', 'SVSVU', 'MSGM', 'CYAD', 'TSP', 'PED', 'PRFX', 'HYRE', 'APPH', 'STRM', 'NEXI', 'NSYS', 'PETV', 'HDSN', 'YY', 'XAIR', 'PKOH', 'AEYE', 'WRAP', 'INTA', 'TEDU', 'BEKE', 'SOPH', 'CTOS', 'ANTE', 'CALT', 'ALIT', 'ARMP', 'FHTX', 'PRPO', 'OPFI', 'EDSA', 'UFPT', 'IPWR', 'CRKN', 'VAPO', 'APRE', 'EM', 'PYR', 'VACC', 'SVRA', 'BLDE', 'VYNT', 'TUSK', 'ETSY', 'VOR', 'RELL', 'DYAI', 'DYAI']",121,[],[]
ta_toplosers,"['SLQT', 'ADTX', 'HEPS', 'SNTG', 'BGI', 'YSG', 'RGS', 'VMAR', 'BASE', 'AVNW', 'BLCT', 'ICMB', 'DOCS', 'SAVA', 'DLTR', 'LOV', 'RPHM', 'ANF', 'SLI', 'DXF', 'SINO', 'COHN', 'CPOP', 'ADSK', 'MTEX', 'QTRX', 'BURL', 'HAIN', 'BLUW', 'ALF', 'SYTA', 'IS', 'SNPR', 'AREC', 'SNES', 'EHTH', 'JFIN', 'INTZ', 'FLXN', 'HMLP', 'JWN', 'AMC', 'AXSM', 'GTH', 'RHE', 'MIXT', 'PLCE', 'TDUP', 'SNPX', 'AEHL', 'MGTA', 'SNSE', 'FRD', 'EYEG', 'GIGM', 'LCI', 'EVLO', 'SBEV', 'ACY', 'STIM', 'OSMT', 'CYT', 'IMAB', 'PRTG', 'MMAT', 'GOVX', 'KRUS', 'EWTX', 'XYF', 'AMRX', 'AP', 'CHS', 'OLLI', 'SESN', 'NCTY', 'HUIZ', 'KLXE', 'UPC', 'EJH', 'GEL', 'LX', 'KOD', 'CCRN', 'YQ', 'METC', 'BIG', 'RCAT', 'WAFU', 'HALL', 'LTHM', 'IHT', 'JAKK', 'INDP', 'PRTH', 'BNR', 'KPLT', 'JZXN', 'LAC', 'NM', 'UGP', 'DUOL', 'XELA', 'HVBT', 'APPS', 'GMVD', 'BCAB', 'QTNT', 'TUP', 'IO', 'KEN', 'LMPX', 'HOFV', 'WAVE', 'CVRX', 'MPLN', 'RNA', 'MQ', 'MARA', 'LZ', 'GNLN', 'AHPI', 'TBPH', 'FOA', 'RPTX', 'GILT', 'UCL', 'UK', 'XTLB', 'FTCH', 'MBI', 'KOS', 'FNHC', 'SQSP', 'PALI', 'CFRX', 'TAL', 'BBIG', 'GRCL', 'ENDP', 'CRBU', 'PMCB', 'TTCF', 'CDTX', 'UROY', 'PNT', 'ANVS', 'REE', 'SQBG', 'ORTX', 'MEDS', 'SDGR', 'RBLX', 'VIPS', 'TCON', 'MAX']",155,[],[]
ta_newhigh,"['CDW', 'LBRDA', 'SNPS', 'OTEX', 'NSP', 'SEE', 'ZUO', 'REGN', 'NVT', 'ZBRA', 'LHX', 'HIBB', 'GTS', 'AACIU', 'ODFL', 'ARES', 'NVG', 'GPCOU', 'JBL', 'EPRT', 'ALKS', 'GOGL', 'LSI', 'LSXMK', 'III', 'STT', 'AON', 'GOOGL', 'APH', 'NSA', 'PWR', 'IQV', 'WTS', 'DXCM', 'FWONA', 'TEAM', 'AMR', 'PFPT', 'NAVI', 'RSG', 'MYRG', 'ASML', 'MWA', 'GLOB', 'WM', 'KEYS', 'RGEN', 'BILL', 'DIOD', 'MSI', 'CM', 'NOW', 'MTD', 'GPK', 'CTLT', 'MDXG', 'RADI', 'GS', 'CERE', 'LSXMA', 'A', 'FC', 'TRMB', 'FTNT', 'LSPD', 'MS', 'NUW', 'CSL', 'CODI', 'INOV', 'SPSC', 'SPT', 'BRKR', 'NRG', 'ROG', 'CDNS', 'INMD', 'RRR', 'ICLR', 'PRFT', 'VTOL', 'MRVL', 'RDWR', 'NBH', 'APTS', 'DOMO', 'CIO', 'DDOG', 'ERJ', 'CRH', 'MGIC', 'CUBE', 'SAR', 'DKS', 'HUBS', 'ZNTL', 'EXR', 'JEF', 'GTLS', 'CRL', 'POWI', 'AGEN', 'AVTR', 'TIXT', 'DSGX', 'DAWN', 'EVCM', 'NXPI', 'RMR', 'PGC', 'BYRN', 'BSY', 'CRWD', 'PANW', 'BX', 'CLDX', 'SWAV', 'ZS', 'SOPH', 'PDSB', 'SD', 'PRTA', 'CSV', 'DCBO', 'GAMB', 'WSM', 'BLFS', 'SKIN', 'BYSI', 'GSM', 'MOV', 'OLO', 'DVAX', 'ULTA', 'S', 'FULC', 'PWSC', 'EDN', 'NTAP', 'XAIR', 'DFNS', 'SPRT']",142,[],[]
ta_newlow,"['AGCUU', 'SVFAU', 'NDAC', 'CHAA', 'ATNM', 'ENR', 'OSI', 'HAACU', 'ALZN', 'GO', 'MOVE', 'BAX', 'TNP', 'UIHC', 'CVGW', 'ATVCU', 'SPNV', 'FGEN', 'SUMR', 'EWTX', 'CPB', 'VMAR', 'EAR', 'TBPH', 'FFIE', 'PAY', 'THS', 'OWLT', 'DSP', 'MILE', 'DUOL', 'HMLP', 'GWAC', 'SONN', 'RPHM', 'BLCT', 'EHTH', 'YSG', 'LCI', 'HEPS', 'SLQT']",41,[],[]
ta_mostvolatile,"['SAVA', 'CRTX', 'WSM', 'DOCS', 'ANVS', 'RFL', 'ACY', 'AMC', 'BASE', 'AGFY', 'YY', 'VRPX', 'CFLT', 'BYSI', 'AXSM', 'QTRX', 'NRXP', 'IMPL', 'FLGC', 'BEKE', 'FULC', 'AMTI', 'RNLX', 'EH', 'KNBE', 'BEEM', 'BCYC', 'COHN', 'AVNW', 'SPRT', 'MTEX', 'SNTG', 'OTRK', 'NOTV', 'EJH', 'BSY', 'INMB', 'CYT', 'EWTX', 'TDUP', 'REPL', 'BLUW', 'GRPH', 'BLUWU', 'BNR', 'OMIC', 'TKAT', 'NPCE', 'MXCT', 'FLWS', 'SGOC', 'MDIA', 'DLPN', 'PRTG', 'NSYS', 'TITN', 'NEXI', 'AVTE', 'ALF', 'AUPH', 'ORIC', 'TERN', 'GTH', 'SLQT', 'ETNB', 'FNCH', 'OPNT', 'ABOS', 'DATS', 'GES', 'UGRO', 'BBW', 'DVAX', 'MRIN', 'HEPS', 'TSRI', 'BOX', 'UCL', 'XAIR', 'EVLO', 'GAMB', 'ASTS', 'HPK', 'ATER', 'UUU', 'SQZ', 'RHE', 'ZME', 'AEHR', 'VRAR', 'ENSC', 'SBET', 'TYHT', 'CPOP', 'SYTA', 'MKTY', 'VVOS', 'DYAI', 'ZUO', 'RIDE', 'CGA', 'UTME', 'RPHM', 'WAFU', 'FRD', 'INO', 'NAOV', 'CABA', 'INTZ', 'POLA', 'PRFX', 'SJ', 'ABVC', 'RLX', 'NM', 'RMO', 'COE', 'EQ', 'GWAC', 'FLXN', 'PCSA', 'VRNA', 'RGS', 'VMAR', 'BLCT', 'OCG', 'JFIN', 'ELDN', 'COTY', 'EDAP', 'ZKIN', 'CBLI', 'HUDI', 'KOPN', 'IHT', 'DFNS', 'RDHL', 'JWEL', 'GMVD', 'GSM', 'BBIG', 'AGLE', 'LOV', 'ADTX', 'CMPI', 'KXIN', 'VINO', 'EDN', 'EYEG', 'BGI', 'SNPR', 'ADAP', 'AHAC', 'SINO', 'MRAM', 'CRTD', 'HUIZ', 'CNFR', 'PALT', 'PRPO', 'GSMG', 'XELA', 'OSMT', 'AMPG', 'GROY', 'LCI', 'ADIL', 'ICMB', 'VS', 'HOFV', 'XERS', 'PTPI', 'OPGN', 'INM', 'NINE', 'ANTE', 'TEDU', 'YVR', 'MDNA', 'JFU', 'HYMC', 'NDRA', 'YQ', 'APM', 'CREX', 'RNWK', 'NH', 'LKCO', 'CFMS', 'OTIC', 'STRM', 'IO', 'SNES', 'DXF', 'AGFS', 'HOTH', 'ACRX', 'PED', 'CETX', 'AIRI', 'AIRI']",201,[],[]
ta_mostactive,"['PSFE', 'FAMI', 'OGI', 'HOOD', 'PBR-A', 'WDC', 'UNG', 'ACST', 'UUU', 'PENN', 'ABNB', 'QS', 'ADI', 'SPXS', 'KR', 'EXPR', 'ATVI', 'IEMG', 'BBIG', 'PDD', 'FSR', 'MARA', 'BYSI', 'RIG', 'WMT', 'PROG', 'FB', 'VIAC', 'RMO', 'OPEN', 'YVR', 'BKR', 'CMCSA', 'IQ', 'CVX', 'GEVO', 'GE', 'LVS', 'ET', 'NLY', 'HST', 'XLU', 'BA', 'KWEB', 'SONM', 'SU', 'YSG', 'UAL', 'JETS', 'PCG', 'EQT', 'SABR', 'UMC', 'TNA', 'AMCR', 'MMAT', 'MRNA', 'LCID', 'AGEN', 'ORCL', 'AUPH', 'CIDM', 'SOXL', 'KMI', 'SWN', 'TSM', 'XLI', 'GOLD', 'SKLZ', 'DAL', 'PINS', 'SPCE', 'VWO', 'CPNG', 'SONN', 'KO', 'AUY', 'ANF', 'DLPN', 'VIPS', 'DKS', 'SIRI', 'AEO', 'JPM', 'FCX', 'HEXO', 'OXY', 'JD', 'MRO', 'XOM', 'HPE', 'DVN', 'LKCO', 'XPEV', 'HPQ', 'NCLH', 'NKLA', 'DVAX', 'LUMN', 'TNXP', 'PLUG', 'INO', 'ZKIN', 'BLUW', 'XLP', 'TZA', 'SNOW', 'TSLA', 'BB', 'FCEL', 'PTON', 'YY', 'CSCO', 'C', 'LQD', 'TME', 'VALE', 'KXIN', 'NOK', 'GPS', 'VZ', 'BBD', 'DKNG', 'SLV', 'X', 'SDS', 'CLOV', 'HBAN', 'TLRY', 'GM', 'TLT', 'SOFI', 'EFA', 'PSTG', 'DIDI', 'UBER', 'BEKE', 'CLF', 'MSFT', 'SENS', 'HYG', 'PBR', 'GDX', 'JWN', 'DLTR', 'BABA', 'CRM', 'XELA', 'ADTX', 'M', 'INTC', 'SNAP', 'MU', 'ZNGA', 'XLE', 'TAL', 'WFC', 'EWZ', 'IWM', 'AAL', 'ABEV', 'ADXS', 'NVDA', 'WISH', 'SAVA', 'TQQQ', 'SESN', 'CCL', 'ITUB', 'RLX', 'EEM', 'PFE', 'FXI', 'QQQ', 'SGOC', 'SLQT', 'NIO', 'VXX', 'COTY', 'T', 'CEI', 'XLF', 'BAC', 'VEON', 'PLTR', 'UVXY', 'AAPL', 'EDU', 'AMD', 'SPY', 'F', 'TKAT', 'SNDL', 'SQQQ', 'SPRT', 'AMC', 'GSMG', 'NAKD', 'RIDE', 'ZOM', 'ZOM']",201,[],[]
ta_unusualvolume,"['ZOM', 'RIDE', 'GSMG', 'SPRT', 'TKAT', 'VEON', 'COTY', 'SLQT', 'SGOC', 'RLX', 'SAVA', 'ADXS', 'ADTX', 'CRM', 'DLTR', 'JWN', 'PSTG', 'YY', 'SNOW', 'BLUW', 'ZKIN', 'DVAX', 'DKS', 'DLPN', 'ANF', 'YSG', 'UUU', 'UNG', 'SPLK', 'AMRX', 'MNR', 'ABVC', 'DG', 'PRPO', 'ADSK', 'WSM', 'USIG', 'UP', 'NTAP', 'GWAC', 'ATER', 'HEPS', 'DFNS', 'TEDU', 'KOLD', 'HOTH', 'OPGN', 'NNA', 'SWBK', 'GAMB', 'ULTA', 'RDHL', 'POLA', 'HUIZ', 'OLLI', 'BURL', 'IEO', 'ACIC', 'LPL', 'CSOD', 'GES', 'MKFG', 'ASND', 'HAIN', 'TBPH', 'SCHR', 'PTY', 'MIME', 'ISTB', 'RNWK', 'GNLN', 'EHTH', 'TVTY', 'GTX', 'XAIR', 'JFIN', 'AIRI', 'BLFS', 'SOAC', 'DBEF', 'QTRX', 'RMBL', 'SINO', 'OWLT', 'TPYP', 'TRMK', 'YI', 'RGS', 'GTS', 'INSE', 'SMED', 'NSL', 'SPNV', 'AVNW', 'LMRK', 'JWEL', 'EUM', 'PPTA', 'MORT', 'MRAM', 'RFL', 'NRK', 'FLGB', 'CPSR', 'ZEAL', 'ULVM', 'VMAR', 'PHO', 'IXJ', 'AGZ', 'FLSW', 'TBX', 'ICMB', 'EQ', 'CTHR', 'FWONA', 'VPC', 'TSRI', 'VRNA', 'FCTR', 'INM', 'HPK', 'ATVCU', 'RWL', 'FIV', 'NSSC', 'CHAA', 'AGCUU', 'CPAC', 'RMR', 'QDEC', 'PCN', 'OSI', 'FAUG', 'DSTL', 'SYTA', 'RGI', 'GTIP', 'NSTC', 'EDN', 'PILL', 'BIBL', 'UCL', 'FDIV', 'BICK', 'GCOR', 'AVDE', 'CCBG', 'QMAR', 'IWL', 'SPMO', 'CENHU', 'THY', 'NRACU', 'QPX', 'INKAU', 'FAPR', 'DHBCU', 'DAUG', 'SKOR', 'QABA', 'MBSD', 'LBPS', 'ESG', 'ALIM', 'GHLD', 'VTHR', 'IGN', 'XBJL', 'KINZU', 'FMAR', 'HYXU', 'RWGV', 'QED', 'BLUWU', 'PVAL', 'PFUT', 'PGRO', 'BOUT', 'LKOR', 'DGL', 'EFZ', 'USVM', 'MXE', 'NBO', 'UIVM', 'PLDR', 'BSMM', 'FGM', 'DIVZ', 'ACKIU', 'GQRE', 'ENTR', 'NUSA', 'XSHQ', 'IEHS', 'DFND', 'FSZ', 'MLVF', 'GOAT', 'GOAT']",201,[],[]
ta_overbought,"['CIO', 'SCSC', 'DKS', 'SBT', 'GWAC', 'BYRN', 'NBH', 'SPSC', 'STFC', 'CSV', 'IEC', 'DVAX', 'GTS', 'SNPS', 'PRFT', 'HNP', 'MIME', 'TRIL', 'GLOB', 'SPRT', 'A', 'DFNS']",22,[],[]
ta_oversold,"['EAR', 'SLAMU', 'RPHM', 'GO', 'THS', 'QUOT', 'CVGW', 'PAE', 'OTRK', 'HMLP', 'SLQT', 'MDVL', 'VSTA', 'MITQ']",14,[],[]
n_downgrades,"['YUM', 'SLQT', 'PXLW', 'PSX', 'PNR', 'OHI', 'JWN', 'DOCS', 'DK', 'CVI']",10,[],[]
